Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-10-23 01:04:05,,UTC-04:00,2024-10-23 01:04:05,2024-10-23 10:05:11,80,13.9,489,534,288,67,134,45,610,126,91,65,false
2024-10-22 03:04:07,2024-10-23 01:04:05,UTC-04:00,2024-10-22 03:04:07,2024-10-22 09:37:18,60,14.3,372,393,182,105,85,21,625,127,94,83,false
2024-10-21 03:39:53,2024-10-22 03:04:07,UTC-04:00,2024-10-21 03:39:53,2024-10-21 10:54:53,65,13.6,399,434,228,70,101,35,613,127,91,80,false
2024-10-20 04:12:32,2024-10-21 03:39:53,UTC-04:00,2024-10-20 04:12:32,2024-10-20 10:49:33,60,14.9,385,397,211,95,79,12,645,127,97,69,false
2024-10-19 02:44:45,2024-10-20 04:12:32,UTC-04:00,2024-10-19 02:44:45,2024-10-19 10:13:01,67,13.8,409,440,234,56,119,31,613,127,93,79,false
2024-10-18 03:10:13,2024-10-19 02:44:45,UTC-04:00,2024-10-18 03:10:13,2024-10-18 07:24:01,41,15.1,248,253,131,61,56,5,603,86,97,89,false
2024-10-17 02:32:21,2024-10-18 03:10:13,UTC-04:00,2024-10-17 02:32:21,2024-10-17 10:28:12,77,14.2,453,475,178,95,180,22,587,114,95,91,false
2024-10-16 02:33:48,2024-10-17 02:32:21,UTC-04:00,2024-10-16 02:33:48,2024-10-16 10:22:02,62,14.0,374,468,220,59,95,64,602,127,79,86,false
2024-10-15 03:13:48,2024-10-16 02:33:48,UTC-04:00,2024-10-15 03:13:48,2024-10-15 10:33:08,66,14.5,410,439,340,35,35,29,617,124,93,75,false
2024-10-14 02:38:33,2024-10-15 03:13:48,UTC-04:00,2024-10-14 02:38:33,2024-10-14 11:17:40,69,15.2,424,518,200,114,110,94,619,127,82,71,false
2024-10-13 02:30:21,2024-10-14 02:38:33,UTC-04:00,2024-10-13 02:30:21,2024-10-13 09:23:43,58,15.3,360,410,242,72,46,50,624,127,88,76,false
2024-10-12 03:44:59,2024-10-13 02:30:21,UTC-04:00,2024-10-12 03:44:59,2024-10-12 09:15:21,49,15.3,298,330,179,43,76,32,603,79,90,68,false
2024-10-11 01:02:53,2024-10-12 03:44:59,UTC-04:00,2024-10-11 01:02:53,2024-10-11 09:48:44,80,15.4,498,525,320,72,106,27,622,111,94,56,false
2024-10-10 03:52:06,2024-10-11 01:02:53,UTC-04:00,2024-10-10 03:52:06,2024-10-10 11:16:14,70,15.6,413,444,219,94,100,31,587,127,93,48,false
2024-10-09 02:43:28,2024-10-10 03:52:06,UTC-04:00,2024-10-09 08:02:00,2024-10-09 09:02:00,8,14.7,48,60,48,0,0,12,599,127,80,,true
2024-10-09 02:43:28,2024-10-10 03:52:06,UTC-04:00,2024-10-09 02:43:28,2024-10-09 07:59:23,54,15.5,301,315,166,62,73,14,558,47,95,42,false
2024-10-08 00:39:07,2024-10-09 02:43:28,UTC-04:00,2024-10-08 00:39:07,2024-10-08 06:58:22,82,15.1,335,379,201,61,73,44,410,54,88,49,false
2024-10-06 23:21:37,2024-10-08 00:39:07,UTC-04:00,2024-10-07 07:16:00,2024-10-07 10:16:00,32,15.2,167,180,118,23,26,13,525,54,93,,true
2024-10-06 23:21:37,2024-10-08 00:39:07,UTC-04:00,2024-10-06 23:21:37,2024-10-07 07:13:08,83,15.1,425,471,229,100,96,46,509,127,90,26,false
2024-10-06 04:07:18,2024-10-06 23:21:37,UTC-04:00,2024-10-06 15:54:00,2024-10-06 16:54:00,9,15.2,56,60,51,5,0,4,606,127,93,,true
2024-10-06 04:07:18,2024-10-06 23:21:37,UTC-04:00,2024-10-06 11:36:00,2024-10-06 12:30:00,8,15.4,48,54,48,0,0,6,599,127,100,,true
2024-10-06 04:07:18,2024-10-06 23:21:37,UTC-04:00,2024-10-06 04:07:18,2024-10-06 11:35:15,68,15.6,426,446,133,121,172,20,628,126,95,57,false
2024-10-05 03:41:43,2024-10-06 04:07:18,UTC-04:00,2024-10-05 03:41:43,2024-10-05 11:00:40,66,15.0,379,429,237,94,48,50,577,127,88,39,false
2024-10-04 02:08:29,2024-10-05 03:41:43,UTC-04:00,2024-10-04 16:55:14,2024-10-04 17:57:14,9,16.6,58,62,46,11,1,4,614,127,93,,true
2024-10-04 02:08:29,2024-10-05 03:41:43,UTC-04:00,2024-10-04 02:08:29,2024-10-04 06:38:08,38,14.9,235,269,120,59,56,34,622,127,87,40,false
2024-10-03 08:22:53,2024-10-04 02:08:29,UTC-04:00,2024-10-03 08:22:53,2024-10-03 12:03:59,34,15.2,202,221,152,37,13,19,591,103,92,51,false
2024-10-02 05:56:30,2024-10-03 08:22:53,UTC-04:00,2024-10-02 05:56:30,2024-10-02 11:29:07,59,14.1,297,330,137,65,95,33,505,17,91,47,false
2024-10-01 02:18:51,2024-10-02 05:56:30,UTC-04:00,2024-10-01 02:18:51,2024-10-01 07:24:33,89,14.3,286,305,153,76,57,19,321,11,93,,false
2024-09-29 13:33:16,2024-10-01 02:18:51,UTC-04:00,2024-09-30 07:31:14,2024-09-30 10:57:55,37,14.1,181,204,105,34,42,23,485,11,88,,true
2024-09-29 13:33:16,2024-10-01 02:18:51,UTC-04:00,2024-09-29 13:33:16,2024-09-30 02:22:11,,,,,,,,,,,,,false
2024-09-17 03:06:57,2024-09-18 03:06:57,UTC-04:00,2024-09-17 03:06:57,2024-09-17 12:15:44,95,13.6,458,548,281,79,98,90,482,0,83,56,false
2024-09-15 23:51:13,2024-09-17 03:06:57,UTC-04:00,2024-09-15 23:51:13,2024-09-16 09:14:04,100,14.3,545,562,341,80,124,17,535,53,96,53,false
2024-09-15 02:32:39,2024-09-15 23:51:13,UTC-04:00,2024-09-15 02:32:39,2024-09-15 09:34:11,79,14.1,391,418,151,118,122,27,498,22,94,,false
2024-09-14 03:38:53,2024-09-15 02:32:39,UTC-04:00,2024-09-14 03:38:53,2024-09-14 11:40:31,93,13.4,449,481,169,93,187,32,484,0,93,,false
2024-09-04 00:31:17,2024-09-05 00:31:17,UTC-04:00,2024-09-04 00:31:17,2024-09-04 10:50:51,100,14.4,588,619,482,39,67,31,578,90,94,44,false
2024-09-03 04:07:29,2024-09-04 00:31:17,UTC-04:00,2024-09-03 04:07:29,2024-09-03 10:56:32,68,13.8,382,409,222,59,101,27,562,38,93,52,false
2024-09-01 02:15:57,2024-09-01 22:53:59,UTC-04:00,2024-09-01 02:15:57,2024-09-01 11:19:34,89,13.1,495,543,333,87,75,48,554,81,91,76,false
2024-08-30 02:34:21,2024-09-01 02:15:57,UTC-04:00,2024-08-30 02:34:21,2024-08-30 10:05:12,70,12.7,384,450,257,68,59,66,546,71,85,75,false
2024-08-29 02:39:48,2024-08-30 02:34:21,UTC-04:00,2024-08-29 02:39:48,2024-08-29 09:44:43,74,12.6,398,424,282,42,74,26,541,66,93,61,false
2024-08-28 01:20:53,2024-08-29 02:39:48,UTC-04:00,2024-08-28 01:20:53,2024-08-28 08:54:37,75,13.1,392,453,187,78,127,61,526,52,86,56,false
2024-08-27 03:55:01,2024-08-28 01:20:53,UTC-04:00,2024-08-27 03:55:01,2024-08-27 11:48:56,84,13.2,431,473,192,105,134,42,513,37,91,62,false
2024-08-26 02:40:26,2024-08-27 03:55:01,UTC-04:00,2024-08-26 02:40:26,2024-08-26 10:31:58,88,13.1,425,471,236,99,90,46,483,11,92,48,false
2024-08-25 04:40:32,2024-08-26 02:40:26,UTC-04:00,2024-08-25 04:40:32,2024-08-25 13:43:33,97,12.8,517,541,224,125,168,24,534,0,95,41,false
2024-08-24 03:51:21,2024-08-25 04:40:32,UTC-04:00,2024-08-24 03:51:21,2024-08-24 12:37:41,100,13.2,492,524,240,91,161,32,383,93,94,36,false
2024-08-23 02:40:47,2024-08-24 03:51:21,UTC-04:00,2024-08-23 13:46:25,2024-08-23 17:01:05,32,13.4,184,188,103,37,44,4,566,93,97,,true
2024-08-23 02:40:47,2024-08-24 03:51:21,UTC-04:00,2024-08-23 02:40:47,2024-08-23 08:19:10,63,13.5,312,338,206,36,70,26,499,85,92,44,false
2024-08-22 03:07:07,2024-08-23 02:40:47,UTC-04:00,2024-08-22 14:32:06,2024-08-22 15:46:07,11,14.7,61,72,22,20,19,11,559,85,91,,true
2024-08-22 03:07:07,2024-08-23 02:40:47,UTC-04:00,2024-08-22 03:07:07,2024-08-22 11:00:39,77,13.9,445,468,287,75,83,23,578,92,95,43,false
2024-08-21 04:00:00,2024-08-22 03:07:07,UTC-04:00,2024-08-21 04:00:00,2024-08-21 12:00:00,,,,,,,,,,,,,false
2024-08-20 06:13:05,2024-08-21 04:00:00,UTC-04:00,2024-08-20 06:13:05,2024-08-20 11:36:05,62,13.8,298,323,148,58,92,25,482,42,92,49,false
2024-08-19 03:15:14,2024-08-20 06:13:05,UTC-04:00,2024-08-19 23:42:19,2024-08-20 01:03:04,13,17.1,73,80,73,0,0,7,545,42,90,,true
2024-08-19 03:15:14,2024-08-20 06:13:05,UTC-04:00,2024-08-19 03:15:14,2024-08-19 11:15:54,87,13.8,457,480,186,115,156,23,523,49,95,60,false
2024-08-18 05:08:05,2024-08-19 03:15:14,UTC-04:00,2024-08-18 05:08:05,2024-08-18 13:09:12,85,13.7,423,474,194,83,146,51,500,22,89,57,false
2024-08-17 05:36:21,2024-08-18 05:08:05,UTC-04:00,2024-08-17 05:36:21,2024-08-17 14:03:51,93,13.7,488,505,384,40,64,17,524,127,97,36,false
